title,year,director,duration,cast,genre,imdb_rating
Stay Tuned,1992,Peter Hyams,88,"John Ritter, Pam Dawber, David Tom",Revenge Film,6.3
Rapid Fire,1992,Dwight H. Little,95,"Kate Hodge, Tony Longo, Michael Paul Chan",Animation,6.3
Rapid Fire,1992,Dwight H. Little,95,"Kate Hodge, Tony Longo, Michael Paul Chan",Avant-garde / Experimental,6.3
Rapid Fire,1992,Dwight H. Little,95,"Kate Hodge, Tony Longo, Michael Paul Chan",Fairy Tales and Legends,6.3
Unlawful Entry,1992,Jonathan Kaplan,117,"Kurt Russell, Ray Liotta, Madeleine Stowe",Crime Drama,6.4
Unlawful Entry,1992,Jonathan Kaplan,117,"Kurt Russell, Ray Liotta, Madeleine Stowe",Crime,6.4
Unlawful Entry,1992,Jonathan Kaplan,117,"Kurt Russell, Ray Liotta, Madeleine Stowe",Drama,6.4
Ferngully: The Last Rainforest,1992,Bill Kroyer,76,"Samantha Mathis, Tim Curry, Joanthan Ward",Comedy,6.5
Ferngully: The Last Rainforest,1992,Bill Kroyer,76,"Samantha Mathis, Tim Curry, Joanthan Ward",Romance,6.5
Ferngully: The Last Rainforest,1992,Bill Kroyer,76,"Samantha Mathis, Tim Curry, Joanthan Ward",Romantic Comedy,6.5
Passenger 57,1992,Kevin Hooks,84,"Wesley Snipes, Bruce Payne, Tom Sizemore",Action,5.9
Passenger 57,1992,Kevin Hooks,84,"Wesley Snipes, Bruce Payne, Tom Sizemore",Action Thriller,5.9
Passenger 57,1992,Kevin Hooks,84,"Wesley Snipes, Bruce Payne, Tom Sizemore",Crime,5.9
Kuffs,1992,Bruce A. Evans,102,"Christian Slater, Tony Goldwyn, Troy Evans",Action Comedy,5.9
Kuffs,1992,Bruce A. Evans,102,"Christian Slater, Tony Goldwyn, Troy Evans",Action,5.9
Kuffs,1992,Bruce A. Evans,102,"Christian Slater, Tony Goldwyn, Troy Evans",Comedy Drama,5.9
Memoirs of an Invisible Man,1992,John Carpenter,99,"Chevy Chase, Daryl Hannah, Sam Neill",Based-on-20th-Century-Literature,6
Memoirs of an Invisible Man,1992,John Carpenter,99,"Chevy Chase, Daryl Hannah, Sam Neill",Comedy,6
Memoirs of an Invisible Man,1992,John Carpenter,99,"Chevy Chase, Daryl Hannah, Sam Neill",Fantasy,6
Full Contact,1992,Ringo Lam,96,"Chow Yun-Fat, Simon Yam, Ann Bridgewater",Action Thriller,7.1
Full Contact,1992,Ringo Lam,96,"Chow Yun-Fat, Simon Yam, Ann Bridgewater",Action,7.1
Full Contact,1992,Ringo Lam,96,"Chow Yun-Fat, Simon Yam, Ann Bridgewater",Based-on-20th-Century-Literature,7.1
A Heart in Winter,1992,Claude Sautet,105,"Daniel Auteuil, Emmanuelle Béart, André Dussollier",Drama,7.6
A Heart in Winter,1992,Claude Sautet,105,"Daniel Auteuil, Emmanuelle Béart, André Dussollier",Foreign Language Film,7.6
A Heart in Winter,1992,Claude Sautet,105,"Daniel Auteuil, Emmanuelle Béart, André Dussollier",Psychological Drama,7.6
Boomerang,1992,Reginald Hudlin,117,"David Alan Grier, Eartha Kitt, Chris Rock",Romance,5.6
Boomerang,1992,Reginald Hudlin,117,"David Alan Grier, Eartha Kitt, Chris Rock",Comedy,5.6
Boomerang,1992,Reginald Hudlin,117,"David Alan Grier, Eartha Kitt, Chris Rock",Romantic Comedy,5.6
Captain Ron,1992,Thom Eberhardt,90,"Kurt Russell, Martin Short, Benjamin Salisbury",Adventure,5.8
Captain Ron,1992,Thom Eberhardt,90,"Kurt Russell, Martin Short, Benjamin Salisbury",Comedy,5.8
Captain Ron,1992,Thom Eberhardt,90,"Kurt Russell, Martin Short, Benjamin Salisbury",Domestic Comedy,5.8
In the Soup,1992,Alexandre Rockwell,93,"Steve Buscemi, Seymour Cassel, Jennifer Beals",Comedy,7.1
In the Soup,1992,Alexandre Rockwell,93,"Steve Buscemi, Seymour Cassel, Jennifer Beals",Satire,7.1
Sleepwalkers,1992,Mick Garris,91,"Brian Krause, Mädchen Amick, Alice Krige",Black Comedy,5.3
Sleepwalkers,1992,Mick Garris,91,"Brian Krause, Mädchen Amick, Alice Krige",Horror Comedy,5.3
Sleepwalkers,1992,Mick Garris,91,"Brian Krause, Mädchen Amick, Alice Krige",Horror,5.3
Medicine Man,1992,John McTiernan,106,"Sean Connery, Rodolfo de Alexandra, Bec-Kana-Re dos Santos Kaiapo",Drama,6
Medicine Man,1992,John McTiernan,106,"Sean Connery, Rodolfo de Alexandra, Bec-Kana-Re dos Santos Kaiapo",Romantic Adventure,6
Medicine Man,1992,John McTiernan,106,"Sean Connery, Rodolfo de Alexandra, Bec-Kana-Re dos Santos Kaiapo",Jungle Film,6
Rebels of the Neon God,1992,Ming-liang Tsai,127,"Chang-bin Jen, Chao-jung Chen, Tien Miao",Drama,7.5
Rebels of the Neon God,1992,Ming-liang Tsai,127,"Chang-bin Jen, Chao-jung Chen, Tien Miao",Foreign Language Film,7.5
Rebels of the Neon God,1992,Ming-liang Tsai,127,"Chang-bin Jen, Chao-jung Chen, Tien Miao",Revenge Film,7.5
