title,year,director,duration,cast,genre
The Thing,1982,John Carpenter,109,"Kurt Russell, Wilford Brimley, T.K. Carter",Adventure Drama  •  Adventure  •  Drama
The Big Sleep,1946,Howard Hawks,114,"Lauren Bacall, John Ridgely, Humphrey Bogart",Alien Invasion Films  •  Based-on-20th-Century-Literature  •  Body Horror
The Gold Rush,1925,Charles Chaplin,96,"Charles Chaplin, Mack Swain, Tom Murray",Based-on-20th-Century-Literature  •  Detective Film  •  Femme Fatale
The Lion King,1994,"Roger Allers, Rob Minkoff",89,"Matthew Broderick, Jeremy Irons, James Earl Jones",Adventure Comedy  •  Adventure  •  Comedy
La Dolce Vita,1960,Federico Fellini,180,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée",Adventure  •  Animated Musical  •  Animation
Gladiator,2000,Ridley Scott,155,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",Comedy Drama  •  Drama  •  Ensemble Film
The Maltese Falcon,1941,John Huston,100,"Humphrey Bogart, Mary Astor, Gladys George",Action  •  Adventure Drama  •  Adventure
The Great Dictator,1940,Charles Chaplin,125,"Charles Chaplin, Paulette Goddard, Reginald Gardiner",Based-on-20th-Century-Literature  •  Crime  •  Detective Film
Diabolique,1955,Henri-Georges Clouzot,116,"Simone Signoret, Vera Clouzot, Paul Meurisse",Anti-War Film  •  Comedy Drama  •  Comedy
Anatomy of a Murder,1959,Otto Preminger,160,"James Stewart, Lee Remick, Eve Arden",Based-on-20th-Century-Literature  •  Crime  •  Foreign Language Film
Stand by Me,1986,Rob Reiner,89,"River Phoenix, Corey Feldman, Richard Dreyfuss",Courtroom Drama  •  Drama
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,108,"Jim Carrey, Kate Winslet, Elijah Wood",Adventure Drama  •  Adventure  •  Buddy Film
The Searchers,1956,John Ford,119,"John Wayne, Jeffery Hunter, Vera Miles",Comedy Drama  •  Drama  •  Mindbender
My Neighbor Totoro,1988,Hayao Miyazaki,86,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi",Epic  •  Revisionist Western  •  Western
Rope,1948,Alfred Hitchcock,80,"James Stewart, John Dall, Farley Granger",Adventure  •  Animation  •  Anime
Days of Heaven,1978,Terrence Malick,94,"Richard Gere, Brooke Adams, Sam Shepard",Based-on-a-True-Story  •  Based-on-Theatre  •  Crime Drama
American History X,1998,Tony Kaye,119,"Edward Norton, Edward Furlong, Beverly D'Angelo",Costume Romance  •  Drama  •  New Hollywood
Office Space,1999,Mike Judge,89,"Stephen Root, Gary Cole, John C. McGinley",Crime  •  Crime Drama  •  Drama
The Breakfast Club,1985,John Hughes,97,"Emilio Estevez, Molly Ringwald, Anthony Michael Hall",Black Comedy  •  Comedy  •  Workplace Comedy
The Thin Man,1934,W.S. Van Dyke,91,"William Powell, Nat Pendleton, Minna Gombell",Comedy Drama  •  Coming-of-Age  •  Drama
Rififi,1955,Jules Dassin,122,"Jean Servais, Carl Mohner, Robert Manuel",Based-on-20th-Century-Literature  •  Comedy Thriller  •  Comedy
It's a Wonderful Life,1946,Frank Capra,130,"James Stewart, Donna Reed, Lionel Barrymore",Caper  •  Crime Thriller  •  Crime
Fanny and Alexander,1982,Ingmar Bergman,188,"Ewa Fröling, Gunn Wållgren, Jan Malmsjö",Americana  •  Comedy Drama  •  Drama
The Killing,1956,Stanley Kubrick,85,"Sterling Hayden, Coleen Gray, Vince Edwards",Childhood Drama  •  Drama  •  Family Drama
Bringing Up Baby,1938,Howard Hawks,102,"Katharine Hepburn, Cary Grant, Charles Ruggles",Based-on-20th-Century-Literature  •  Caper  •  Crime Thriller
Sullivan's Travels,1941,Preston Sturges,90,"Joel McCrea, Veronica Lake, Robert Warwick",Comedy  •  Romance  •  Romantic Comedy
Unforgiven,1992,Clint Eastwood,131,"Clint Eastwood, Gene Hackman, Frances Fisher",Comedy  •  Road Movie  •  Romance
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,110,"Paul Newman, Robert Redford, Strother Martin",Outlaw  •  Prostitution Film  •  Revenge Film
Rebecca,1940,Alfred Hitchcock,130,"Laurence Olivier, Joan Fontaine, George Sanders",Buddy Film  •  New Hollywood  •  Outlaw
A Fistful of Dollars,1964,Sergio Leone,99,"Clint Eastwood, Marianne Koch, Wolfgang Lukschy",Based-on-20th-Century-Literature  •  Film Noir  •  Gothic Film
Once Upon a Time in the West,1968,Sergio Leone,165,"Charles Bronson, Gabriele Ferzetti, Henry Fonda",Action  •  Foreign Language Film  •  Outlaw
The Wizard of Oz,1939,Victor Fleming,101,"Judy Garland, Frank Morgan, Ray Bolger",Ensemble Film  •  Epic  •  Revenge Film
Rio Bravo,1959,Howard Hawks,141,"John Wayne, Angie Dickinson, Dean Martin",Adventure  •  Based-on-19th-Century-Literature  •  Based-on-Theatre
Iron Man,2008,Jon Favreau,126,"Robert Downey Jr., Gwyneth Paltrow, Shaun Toub",Buddy Film  •  Traditional Western  •  Western
Brief Encounter,1945,David Lean,86,"Celia Johnson, Trevor Howard, Stanley Holloway",Action  •  Based-on-Comics  •  Cyborg / Android / Robot
"Paris, Texas",1984,Wim Wenders,147,"Harry Dean Stanton, Dean Stockwell, Nastassja Kinski",Based-on-Theatre  •  Drama  •  Romance
Ran,1985,Akira Kurosawa,162,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",Drama  •  New German Cinema  •  Road Movie
Laura,1944,Otto Preminger,88,"Gene Tierney, Dana Andrews, Clifton Webb",Action  •  Based-on-Shakespeare  •  Drama
To Be or Not to Be,1942,Ernst Lubitsch,99,"Carole Lombard, Jack Benny, Robert Stack",Crime Thriller  •  Crime  •  Detective Film
The Best Years of Our Lives,1946,William Wyler,172,"Fredric March, Dana Andrews, Harold Russell",Comedy  •  Farce  •  Satire
The Prestige,2006,Christopher Nolan,130,"Hugh Jackman, Christian Bale, Michael Caine",Americana  •  Based-on-20th-Century-Literature  •  Drama
Annie Hall,1977,Woody Allen,93,"Woody Allen, Diane Keaton, Tony Roberts",Mindbender  •  Period Film  •  Psychological Thriller
For a Few Dollars More,1965,Sergio Leone,132,"Clint Eastwood, Lee Van Cleef, Klaus Kinski",Comedy of Manners  •  Comedy  •  New Hollywood
Stalag 17,1953,Billy Wilder,120,"Robert Strauss, Harvey Lembeck, Otto Preminger",Foreign Language Film  •  Spaghetti Western  •  Western
Mr. Smith Goes to Washington,1939,Frank Capra,129,"James Stewart, Jean Arthur, Claude Rains",Comedy Drama  •  Drama  •  Ensemble Film
Duck Soup,1933,Leo McCarey,68,"Harpo Marx, Groucho Marx, Chico Marx",Americana  •  Comedy Drama  •  Drama
Lawrence of Arabia,1962,David Lean,227,"Peter O'Toole, Alec Guinness, Anthony Quinn",Absurd Comedy  •  Comedy  •  Farce
Chungking Express,1994,Wong Kar-Wai,98,"Brigitte Lin, Tony Leung Chiu Wai, Faye Wong",Adventure Drama  •  Adventure  •  Based-on-a-True-Story
Back to the Future Part II,1989,Robert Zemeckis,108,"Michael J. Fox, Christopher Lloyd, Lea Thompson",Drama  •  Foreign Language Film  •  Romance
Andrei Rublev,1966,Andrei Tarkovsky,205,"Anatoli Solonitsyn, Ivan Lapikov, Nikolai Grinko",Adventure  •  Adventure Comedy  •  Comedy
Witness for the Prosecution,1957,Billy Wilder,116,"Tyrone Power, Marlene Dietrich, Charles Laughton",Based-on-a-True-Story  •  Biopic  •  Epic
The Sting,1973,George Roy Hill,129,"Paul Newman, Robert Redford, Robert Shaw",Based-on-20th-Century-Literature  •  Courtroom Drama  •  Crime Drama
Charade,1963,Stanley Donen,113,"James Coburn, Cary Grant, Audrey Hepburn",Buddy Film  •  Comedy  •  Con Artist / Hustler
All the President's Men,1976,Alan J. Pakula,138,"Jason Robards, Hal Holbrook, Jack Warden",Comedy Thriller  •  Comedy  •  Mystery
The Kid,1921,Charles Chaplin,68,"Charles Chaplin, Jackie Coogan",Based-on-a-True-Story  •  Docudrama  •  Drama
Dog Day Afternoon,1975,Sidney Lumet,125,"Al Pacino, John Cazale, Charles Durning",Drama  •  Silent Film
