title,year,director,duration,cast,genre
City of God,2002,"Fernando Meirelles, Kátia Lund",130,"Leandro Firmino da Hora, Matheus Nachtergaele, Seu Jorge",Based-on-a-True-Story  •  Caper  •  Crime Drama
Django Unchained,2012,Quentin Tarantino,165,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",Based-on-20th-Century-Literature  •  Coming-of-Age  •  Crime Drama
The Battle of Algiers,1966,Gillo Pontecorvo,121,"Brahim Hadjadj, Jean Martin, Yacef Saadi",Drama  •  Revenge Film  •  Revisionist Western
The Shop Around the Corner,1940,Ernst Lubitsch,99,"Margaret Sullavan, James Stewart, Frank Morgan",Docudrama  •  Drama  •  Foreign Language Film
WALL·E,2008,Andrew Stanton,98,"Fred Willard, Jeff Garlin, Ben Burtt",Comedy  •  Drama  •  Romance
Breathless,1960,Jean-Luc Godard,90,"Jean-Paul Belmondo, Jean Seberg",Adventure Comedy  •  Animation  •  Comedy
The Hidden Fortress,1958,Akira Kurosawa,139,"Toshirô Mifune, Minoru Chiaki, Kamatari Fujiwara",Crime Drama  •  Crime  •  Drama
The Graduate,1967,Mike Nichols,105,"Dustin Hoffman, Anne Bancroft, Katharine Ross",Adventure  •  Costume Adventure  •  Foreign Language Film
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,100,"Jack Albertson, Julie Dawn Cole, Gene Wilder",Comedy Drama  •  Comedy of Manners  •  Coming-of-Age
Metropolis,1927,Fritz Lang,153,"Alfred Abel, Heinrich George, Fritz Alberti",Adventure  •  Based-on-20th-Century-Literature  •  Coming-of-Age
The Great Escape,1963,John Sturges,172,"Steve McQueen, Richard Attenborough, Charles Bronson",Cyberpunk / Tech Noir  •  Cyborg / Android / Robot  •  Dystopian Film
The Long Goodbye,1973,Robert Altman,112,"Elliott Gould, Nina Van Pallandt, Henry Gibson",Adventure  •  Based-on-20th-Century-Literature  •  Based-on-a-True-Story
The King of Comedy,1982,Martin Scorsese,109,"Robert De Niro, Jerry Lewis, Diahnne Abbott",Based-on-20th-Century-Literature  •  Crime Thriller  •  Crime
The Life and Death of Colonel Blimp,1943,"Michael Powell, Emeric Pressburger",163,"Roger Livesey, Deborah Kerr, Anton Walbrook",Black Comedy  •  New Hollywood  •  Showbiz Comedy
E.T.: The Extra-Terrestrial,1982,Steven Spielberg,115,"Dee Wallace, Henry Thomas, Peter Coyote",Costume Romance  •  Drama  •  Period Film
The Hustler,1961,Robert Rossen,134,"Paul Newman, Jackie Gleason, Piper Laurie",Adventure Drama  •  Adventure  •  Drama
12 Monkeys,1995,Terry Gilliam,129,"Bruce Willis, Madeleine Stowe, Brad Pitt",Addiction Drama  •  Con Artist / Hustler  •  Drama
Scarface,1983,Brian De Palma,170,"Al Pacino, Mary Elizabeth Mastrantonio, Michelle Pfeiffer",Cyberpunk / Tech Noir  •  Dystopian Film  •  Mindbender
To Kill a Mockingbird,1962,Robert Mulligan,129,"Gregory Peck, Mary Badham, Phillip Alford",Crime Drama  •  Crime Thriller  •  Crime
The Incredibles,2004,Brad Bird,115,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson",Based-on-20th-Century-Literature  •  Childhood Drama  •  Courtroom Drama
American Beauty,1999,Sam Mendes,122,"Kevin Spacey, Annette Bening, Thora Birch",Action Comedy  •  Action  •  Adventure
Dial M for Murder,1954,Alfred Hitchcock,105,"Ray Milland, Grace Kelly, Robert Cummings",Comedy Drama  •  Coming-of-Age  •  Drama
Mad Max: Fury Road,2015,George Miller,120,"Tom Hardy, Charlize Theron, Nicholas Hoult",Based-on-Theatre  •  Crime Thriller  •  Crime
Ugetsu,1953,Kenji Mizoguchi,94,"Masayuki Mori, Machiko Kyô, Kinuyo Tanaka",Action Thriller  •  Action  •  Carsploitation
Braveheart,1995,Mel Gibson,177,"Mel Gibson, Patrick McGoohan, Angus MacFadyen",Costume Romance  •  Drama  •  Fantasy
The Wild Bunch,1969,Sam Peckinpah,145,"William Holden, Robert Ryan, Edmond O'Brien",Adventure Drama  •  Adventure  •  Based-on-a-True-Story
Army of Shadows,1969,Jean-Pierre Melville,145,"Lino Ventura, Jean-Pierre Cassel, Simone Signoret",Action  •  New Hollywood  •  Outlaw
Grave of the Fireflies,1988,Isao Takahata,89,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara",Drama  •  Foreign Language Film  •  French New Wave
The Lady Vanishes,1938,Alfred Hitchcock,97,"Margaret Lockwood, Michael Redgrave, Paul Lukas",Animation  •  Anime  •  Drama
A Face in the Crowd,1957,Elia Kazan,125,"Andy Griffith, Anthony Franciosa, Patricia Neal",Based-on-20th-Century-Literature  •  Comedy Thriller  •  Comedy
The French Connection,1971,William Friedkin,104,"Gene Hackman, Fernando Rey, Roy Scheider",Drama  •  Media Satire  •  Satire
Sanjuro,1962,Akira Kurosawa,96,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi",Action Thriller  •  Action  •  Based-on-20th-Century-Literature
Bride of Frankenstein,1935,James Whale,75,"Boris Karloff, Elsa Lanchester, Colin Clive",Action  •  Adventure  •  Costume Adventure
The Bridge on the River Kwai,1957,David Lean,161,"William Holden, Jack Hawkins, Sessue Hayakawa",Based-on-19th-Century-Literature  •  Gothic Film  •  Horror
Young Frankenstein,1974,Mel Brooks,106,"Gene Wilder, Peter Boyle, Marty Feldman",Based-on-20th-Century-Literature  •  Drama  •  Ensemble Film
My Man Godfrey,1936,Gregory La Cava,94,"William Powell, Carole Lombard, Alice Brady",Based-on-19th-Century-Literature  •  Comedy  •  Gothic Film
Woman in the Dunes,1964,Hiroshi Teshigahara,123,"Eiji Okada, Kyoko Kishida, Hiroko Ito",Comedy of Manners  •  Comedy  •  Romance
Miller's Crossing,1990,Joel & Ethan Coen,120,"Gabriel Byrne, Albert Finney, John Turturro",Avant-garde / Experimental  •  Based-on-20th-Century-Literature  •  Drama
Finding Nemo,2003,Andrew Stanton,100,"Albert Brooks, Ellen DeGeneres, Alexander Gould",Crime Drama  •  Crime Thriller  •  Crime
Barry Lyndon,1975,Stanley Kubrick,184,"Ryan O'Neal, Marisa Berenson, Patrick Magee",Adventure  •  Adventure Comedy  •  Animation
Black Narcissus,1947,"Michael Powell, Emeric Pressburger",100,"Deborah Kerr, Flora Robson, Jean Simmons",Based-on-19th-Century-Literature  •  Drama  •  Period Film
Airplane!,1980,"Jim Abrahams, David Zucker, Jerry Zucker",88,"Robert Hays, Julie Hagerty, Peter Graves",Based-on-20th-Century-Literature  •  Drama  •  Melodrama
The Sixth Sense,1999,M. Night Shyamalan,107,"Bruce Willis, Haley Joel Osment, Toni Collette",Absurd Comedy  •  Comedy  •  Ensemble Film
Life of Brian,1979,Terry Jones,94,"Graham Chapman, John Cleese, Eric Idle",Childhood Drama  •  Drama  •  Ghost Film
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,117,"Sumi Shimamoto, Ichirô Nagai, Mahito Tsujimura",Absurd Comedy  •  Based-on-Television  •  Comedy
The Goonies,1985,Richard Donner,114,"Sean Astin, Josh Brolin, Jeff Cohen",Adventure  •  Animation  •  Anime
Spirited Away,2001,Hayao Miyazaki,125,"Rumi Hîragi, Miyu Irino, Mari Natsuki",Adventure Comedy  •  Adventure  •  Comedy
High Noon,1952,Fred Zinnemann,85,"Gary Cooper, Grace Kelly, Thomas Mitchell",Adventure  •  Animation  •  Anime
Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",103,"Gene Kelly, Donald O'Connor, Debbie Reynolds",Western
Kill Bill Vol. 2,2004,Quentin Tarantino,136,"Uma Thurman, Michael Madsen, Gordon Liu",Comedy  •  Jukebox Musical  •  Musical Comedy
Oldboy,2003,Chan-wook Park,120,"Dal-su Oh, Min-sik Choi, Ji-tae Yu",Action Thriller  •  Action  •  Feminist Film
Predator,1987,John McTiernan,107,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo",Based-on-Comics  •  Based-on-Manga  •  Drama
The Avengers,2012,Joss Whedon,142,"Robert Downey Jr., Chris Evans, Chris Hemsworth",Action  •  Alien Invasion Films  •  Horror
The Bourne Identity,2002,Doug Liman,119,"Matt Damon, Franka Potente, Chris Cooper",Action  •  Adventure  •  Alien Invasion Films
Paper Moon,1973,Peter Bogdanovich,102,"Ryan O'Neal, John Hillerman, Randy Quaid",Action Thriller  •  Action  •  Based-on-20th-Century-Literature
Children of Men,2006,Alfonso Cuarón,109,"Clive Owen, Julianne Moore, Michael Caine",Comedy Drama  •  Con Artist / Hustler  •  New Hollywood
Late Spring,1949,Yasujirô Ozu,108,"Setsuko Hara, Haruko Sugimura, Chishu Ryu",Action Thriller  •  Action  •  Adventure Drama
Who's Afraid of Virginia Woolf?,1966,Mike Nichols,131,"Elizabeth Taylor, Richard Burton, George Segal",Drama  •  Family Drama  •  Foreign Language Film
Pan's Labyrinth,2006,Guillermo del Toro,119,"Ivana Baquero, Sergi López, Maribel Verdú",Based-on-Theatre  •  Drama  •  Marriage Drama
The Green Mile,1999,Frank Darabont,188,"Tom Hanks, David Morse, James Cromwell",Drama  •  Fairy Tales and Legends  •  Fantasy
The Truman Show,1998,Peter Weir,103,"Jim Carrey, Laura Linney, Noah Emmerich",Based-on-20th-Century-Literature  •  Drama  •  Fantasy
Manhattan,1979,Woody Allen,96,"Woody Allen, Diane Keaton, Michael Murphy",Comedy Drama  •  Drama  •  Media Satire
There Will Be Blood,2007,Paul Thomas Anderson,158,"Daniel Day-Lewis, Colleen Foy, Russell Harvard",Comedy Drama  •  Comedy of Manners  •  Drama
Ocean's Eleven,2001,Steven Soderbergh,116,"George Clooney, Matt Damon, Andy Garcia",Based-on-20th-Century-Literature  •  Drama  •  Family Drama
White Heat,1949,Raoul Walsh,114,"James Cagney, Virginia Mayo, Edmond O'Brien",Caper  •  Comedy  •  Crime Comedy
Stagecoach,1939,John Ford,96,"John Wayne, Claire Trevor, Thomas Mitchell",Crime Thriller  •  Crime  •  Film Noir
A Man Escaped,1956,Robert Bresson,99,"François Leterrier, Charles Le Clainche, Maurice Beerblock",Action  •  Adventure Drama  •  Adventure
"O Brother, Where Art Thou?",2000,Joel & Ethan Coen,107,"George Clooney, John Turturro, Tim Blake Nelson",Docudrama  •  Drama  •  Escape Film
Heat,1995,Michael Mann,188,"Al Pacino, Robert De Niro, Val Kilmer",Americana  •  Buddy Film  •  Comedy
The Last Picture Show,1971,Peter Bogdanovich,118,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd",Action Thriller  •  Action  •  Caper
The Innocents,1961,Jack Clayton,100,"Deborah Kerr, Megs Jenkins, Martin Stephens",Americana  •  Coming-of-Age  •  Drama
The Untouchables,1987,Brian De Palma,119,"Kevin Costner, Robert De Niro, Charles Martin Smith",Based-on-19th-Century-Literature  •  British New Wave  •  Ghost Film
The Umbrellas of Cherbourg,1964,Jacques Demy,91,"Catherine Deneuve, Marc Michel, Anne Vernon",Crime Thriller  •  Crime  •  Gangster Film
Some Like It Hot,1959,Billy Wilder,120,"Marilyn Monroe, Tony Curtis, Jack Lemmon",Drama  •  Foreign Language Film  •  French New Wave
Roman Holiday,1953,William Wyler,118,"Audrey Hepburn, Gregory Peck, Eddie Albert",Comedy of Errors  •  Comedy  •  Cross-Dressing / Gender-Bending
Rain Man,1988,Barry Levinson,133,"Dustin Hoffman, Tom Cruise, Valeria Golino",Comedy  •  Romance  •  Romantic Comedy
Sansho the Bailiff,1954,Kenji Mizoguchi,124,"Kyoko Kagawa, Kinuyo Tanaka, Yoshiaki Hanayagi",Drama  •  Family Drama  •  Melodrama
Snatch.,2000,Guy Ritchie,102,"Benicio Del Toro, Dennis Farina, Vinnie Jones",Drama  •  Foreign Language Film  •  Period Film
The Exorcist,1973,William Friedkin,122,"Ellen Burstyn, Max von Sydow, Mercedes McCambridge",Black Comedy  •  Caper  •  Crime Comedy
Trainspotting,1996,Danny Boyle,94,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",Based-on-20th-Century-Literature  •  Drama  •  Horror
Le Cercle Rouge,1970,Jean-Pierre Melville,140,"François Perier, Gian Maria Volontè, Alain Delon",Addiction Drama  •  Buddy Film  •  Comedy Drama
The Virgin Spring,1960,Ingmar Bergman,89,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom",Caper  •  Crime Thriller  •  Crime
Batman,1989,Tim Burton,126,"Michael Keaton, Jack Nicholson, Kim Basinger",Crime Drama  •  Crime  •  Drama
"Monsters, Inc.",2001,Pete Docter,92,"Billy Crystal, John Goodman, James Coburn",Action  •  Based-on-Comics  •  Crime Thriller
Arsenic and Old Lace,1944,Frank Capra,118,"Priscilla Lane, Josephine Hull, Jean Adair",Animation  •  Comedy  •  Family-Oriented Comedy
Nights of Cabiria,1957,Federico Fellini,117,"Giulietta Masina, François Perier, Franca Marzi",Based-on-Theatre  •  Black Comedy  •  Crime Comedy
The Magnificent Seven,1960,John Sturges,128,"Yul Brynner, Steve McQueen, Horst Buchholz",Drama  •  Foreign Language Film  •  Italian Neorealism
The Deer Hunter,1978,Michael Cimino,182,"Robert De Niro, Christopher Walken, Meryl Streep",Buddy Film  •  Ensemble Film  •  Western
The Fugitive,1993,Andrew Davis,130,"Harrison Ford, Tommy Lee Jones, Sela Ward",Anti-War Film  •  Drama  •  Ensemble Film
Suspiria,1977,Dario Argento,98,"Jessica Harper, Stefania Casini, Flavio Bucci",Action Thriller  •  Action  •  Based-on-Television
Blazing Saddles,1974,Mel Brooks,93,"Cleavon Little, Gene Wilder, Slim Pickens",Fantasy  •  Gothic Film  •  Horror
The Blues Brothers,1980,John Landis,148,"John Belushi, Dan Aykroyd, John Candy",Comedy Western  •  Comedy  •  Odd Couple Film
Guardians of the Galaxy,2014,James Gunn,122,"Chris Pratt, Zoe Saldana, Dave Bautista",Absurd Comedy  •  Action Comedy  •  Adventure Comedy
Catch Me If You Can,2002,Steven Spielberg,141,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",Action  •  Adventure  •  Based-on-Comics
L.A. Confidential,1997,Curtis Hanson,138,"Kevin Spacey, Russell Crowe, Guy Pearce",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic
Safety Last!,1923,"Fred C. Newmeyer, Sam Taylor",70,"Harold Lloyd, Mildred Davis, Bill Strother",Based-on-20th-Century-Literature  •  Crime Drama  •  Crime
The Fifth Element,1997,Luc Besson,126,"Bruce Willis, Milla Jovovich, Ian Holm",Adventure Comedy  •  Adventure  •  Comedy of Errors
Avengers: Infinity War,2018,"Anthony Russo, Joe Russo",156,"Robert Downey Jr., Chris Evans, Chris Hemsworth",Action  •  Adventure  •  Science Fiction
McCabe & Mrs. Miller,1971,Robert Altman,120,"Warren Beatty, Julie Christie, René Auberjonois",Action  •  Adventure  •  Alien Invasion Films
Toy Story 2,1999,John Lasseter,92,"Tom Hanks, Tim Allen, Joan Cusack",Based-on-20th-Century-Literature  •  Drama  •  New Hollywood
The Exterminating Angel,1962,Luis Buñuel,95,"Silvia Pinal, Enrique Rambal, Claudio Brook",Adventure  •  Animation  •  Comedy
Solaris,1972,Andrei Tarkovsky,169,"Natalya Bondarchuk, Donatas Banionis , Jüri Järvet",Comedy Drama  •  Comedy of Manners  •  Drama
Bonnie and Clyde,1967,Arthur Penn,112,"Warren Beatty, Faye Dunaway, Michael J. Pollard",Adventure Drama  •  Adventure  •  Based-on-20th-Century-Literature
Repulsion,1965,Roman Polanski,105,"Catherine Deneuve, Ian Hendry, John Fraser",Drama  •  Based-on-a-True-Story  •  Biopic
Blow Out,1981,Brian De Palma,108,"John Travolta, Nancy Allen, John Lithgow",Horror  •  Psychological Horror  •  Psychological Thriller
Do the Right Thing,1989,Spike Lee,120,"Spike Lee, Rosie Perez, Giancarlo Esposito",New Hollywood  •  Paranoid Thriller  •  Political Thriller
A Night at the Opera,1935,Sam Wood,91,"Groucho Marx, Chico Marx, Harpo Marx",Drama  •  Ensemble Film  •  Hyperlink Film
Let the Right One In,2008,Tomas Alfredson,115,"Kåre Hedebrant, Lina Leandersson, Per Ragnar",Absurd Comedy  •  Comedy  •  Farce
The 39 Steps,1935,Alfred Hitchcock,86,"Robert Donat, Madeleine Carroll, Lucie Mannheim",Based-on-21st-Century-Literature  •  Childhood Drama  •  Coming-of-Age
Wings of Desire,1987,Wim Wenders,128,"Bruno Ganz, Solveig Dommartin, Otto Sander",Based-on-20th-Century-Literature  •  Chase Movie  •  Escape Film
Children of Paradise,1945,Marcel Carné,190,"Pierre Renoir, Pierre Brasseur, Arletty",Fantasy  •  Foreign Language Film  •  Magic Realism
Brazil,1985,Terry Gilliam,94,"Jonathan Pryce, Robert De Niro, Katherine Helmond",Costume Romance  •  Drama  •  Foreign Language Film
Fitzcarraldo,1982,Werner Herzog,158,"Klaus Kinski, Claudia Cardinale, Jose Lewgoy",Black Comedy  •  Dystopian Film  •  Mindbender
This Is Spinal Tap,1984,Rob Reiner,82,"Rob Reiner, Michael McKean, Christopher Guest",Adventure Drama  •  Adventure  •  Drama
Winter Light,1963,Ingmar Bergman,81,"Gunnar Björnstrand, Max von Sydow, Allan Edwall",Comedy  •  Mockumentary  •  Musical
Hot Fuzz,2007,Edgar Wright,121,"Simon Pegg, Nick Frost, Timothy Dalton",Drama  •  Foreign Language Film  •  Psychological Drama
Platoon,1986,Oliver Stone,120,"Charlie Sheen, Tom Berenger, Willem Dafoe",Action Comedy  •  Action  •  Comedy
Sorcerer,1977,William Friedkin,121,"Roy Scheider, Bruno Cremer, Francisco Rabal",Action  •  Anti-War Film  •  Combat Films
Nashville,1975,Robert Altman,159,"Ned Beatty, Ronee Blakley, Keith Carradine",Adventure Drama  •  Adventure  •  Based-on-20th-Century-Literature
The Social Network,2010,David Fincher,120,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake",Americana  •  Drama  •  Ensemble Film
