title,year,director,duration,cast,genre,imdb_rating
Two-Lane Blacktop,1971,Monte Hellman,102,Laurie Bird,Action  •  Adventure  •  Costume Adventure,7.2
The Andromeda Strain,1971,Robert Wise,131,Kate Reid,Comedy  •  Romance  •  Romantic Comedy,7.2
The Andromeda Strain,1971,Robert Wise,131,Paula Kelly,Comedy  •  Romance  •  Romantic Comedy,7.2
The Andromeda Strain,1971,Robert Wise,131,James Olson,Comedy  •  Romance  •  Romantic Comedy,7.2
A New Leaf,1971,Elaine May,102,Walter Matthau,Crime Drama  •  Crime  •  Drama,7.3
A New Leaf,1971,Elaine May,102,George Rose,Crime Drama  •  Crime  •  Drama,7.3
A New Leaf,1971,Elaine May,102,James Coco,Crime Drama  •  Crime  •  Drama,7.3
Carnal Knowledge,1971,Mike Nichols,98,Jack Nicholson,Drama  •  Western,6.9
Carnal Knowledge,1971,Mike Nichols,98,Candice Bergen,Drama  •  Western,6.9
Carnal Knowledge,1971,Mike Nichols,98,Ann-Margret,Drama  •  Western,6.9
Diamonds Are Forever,1971,Guy Hamilton,120,Sean Connery,Based-on-20th-Century-Literature  •  Drama  •  Erotic Drama,6.5
Diamonds Are Forever,1971,Guy Hamilton,120,Jill St. John,Based-on-20th-Century-Literature  •  Drama  •  Erotic Drama,6.5
Diamonds Are Forever,1971,Guy Hamilton,120,Charles Gray,Based-on-20th-Century-Literature  •  Drama  •  Erotic Drama,6.5
The Beguiled,1971,Don Siegel,105,Clint Eastwood,Drama  •  Ensemble Film  •  Hyperlink Film,7.2
The Beguiled,1971,Don Siegel,105,Geraldine Page,Drama  •  Ensemble Film  •  Hyperlink Film,7.2
The Beguiled,1971,Don Siegel,105,Elizabeth Hartman,Drama  •  Ensemble Film  •  Hyperlink Film,7.2
Big Jake,1971,George Sherman,110,Richard Boone,Comedy Drama  •  Coming-of-Age  •  Drama,7.1
Big Jake,1971,George Sherman,110,Patrick Wayne,Comedy Drama  •  Coming-of-Age  •  Drama,7.1
Big Jake,1971,George Sherman,110,Christopher Mitchum,Comedy Drama  •  Coming-of-Age  •  Drama,7.1
Macbeth,1971,Roman Polanski,140,Francesca Annis,Horror  •  Psychological Horror  •  Psychological Thriller,7.4
Macbeth,1971,Roman Polanski,140,Vic Abbott,Horror  •  Psychological Horror  •  Psychological Thriller,7.4
Macbeth,1971,Roman Polanski,140,Bernard Archard,Horror  •  Psychological Horror  •  Psychological Thriller,7.4
A Bay of Blood,1971,Mario Bava,84,Claudine Auger,Horror  •  Slasher Film  •  Teen Movie,6.5
A Bay of Blood,1971,Mario Bava,84,Luigi Pistilli,Horror  •  Slasher Film  •  Teen Movie,6.5
A Bay of Blood,1971,Mario Bava,84,Claudio Camaso,Horror  •  Slasher Film  •  Teen Movie,6.5
Johnny Got His Gun,1971,Dalton Trumbo,111,Donald Berry,Adventure  •  Animation  •  Avant-garde / Experimental,7.8
Johnny Got His Gun,1971,Dalton Trumbo,111,Timothy Bottoms,Adventure  •  Animation  •  Avant-garde / Experimental,7.8
Johnny Got His Gun,1971,Dalton Trumbo,111,Jason Robards,Adventure  •  Animation  •  Avant-garde / Experimental,7.8
The Omega Man,1971,Boris Sagal,98,Charlton Heston,Comedy  •  Musical Comedy  •  Musical Romance,6.4
The Omega Man,1971,Boris Sagal,98,Anthony Zerbe,Comedy  •  Musical Comedy  •  Musical Romance,6.4
The Omega Man,1971,Boris Sagal,98,Rosalind Cash,Comedy  •  Musical Comedy  •  Musical Romance,6.4
